icao24,origin_country,velocity,on_ground
3443d4,Spain,124.61,False
8a0301,Indonesia,215.98,False
addb47,United States,240.49,False
506fc2,Slovenia,31.42,False
506fc0,Slovenia,92.1,False
a8dcee,United States,206.56,False
44036f,Austria,0.0,False
a45091,United States,240.23,False
a9b662,United States,187.34,False
0d10ac,Mexico,6.69,True
c01049,Canada,145.47,False
80047c,India,240.19,False
402080,United Kingdom,48.37,False
4aca04,Sweden,165.43,False
4aca05,Sweden,227.67,False
4aca09,Sweden,118.27,False
c01066,Canada,150.67,False
469ce1,Greece,38.49,False
440389,Austria,224.09,False
4aca12,Sweden,220.42,False
a3b8e1,United States,264.69,False
e48ad4,Brazil,137.16,False
a7bcbf,United States,76.81,False
4bb4f0,Turkey,243.88,False
a7000a,United States,217.31,False
4aca67,Sweden,220.15,False
407b12,United Kingdom,50.17,False
44032f,Austria,47.66,False
a71356,United States,54.54,False
a222b2,United States,225.87,False
a092ea,United States,107.87,False
a2bb10,United States,97.62,False
4aca72,Sweden,191.46,False
4aca74,Sweden,158.06,False
4aca76,Sweden,210.06,False
a222bf,United States,192.02,False
4aca79,Sweden,71.38,False
a5c01b,United States,179.37,False
4aca78,Sweden,79.75,False
4bb4ee,Turkey,223.48,False
a7cfe6,United States,220.29,False
76b865,Singapore,238.08,False
76b866,Singapore,0.19,True
4aca6b,Sweden,219.08,False
a89fda,United States,221.9,False
4b51bf,Switzerland,29.62,False
76b869,Singapore,243.13,False
8016b6,India,112.22,False
8016b9,India,132.42,False
e48afd,Brazil,194.14,False
471fa9,Hungary,206.98,False
4aca46,Sweden,220.27,False
a5705b,United States,199.61,False
471fa1,Hungary,238.71,False
471fa2,Hungary,222.54,False
ab5dab,United States,212.24,False
471fa5,Hungary,227.86,False
471fac,Hungary,152.53,False
aa2abc,United States,220.83,False
471fae,Hungary,215.07,False
c07cf6,Canada,244.8,False
4aca53,Sweden,237.24,False
ab5dba,United States,50.95,False
a88ccf,United States,239.82,False
c0101c,Canada,108.43,False
4b51df,Switzerland,29.69,False
c02358,Canada,184.11,False
4aca4f,Sweden,71.64,False
46b927,Greece,152.47,False
847114,Japan,141.87,False
8015c1,India,252.54,False
8015c2,India,196.48,False
a3a5ec,United States,258.61,False
ab15ba,United States,188.19,False
ac7e1c,United States,251.34,False
8015c9,India,224.34,False
ac48f2,United States,204.23,False
acce00,United States,41.75,False
a582bb,United States,194.64,False
acce07,United States,207.29,False
0180ab,Libyan Arab Jamahiriya,249.9,False
8a0374,Indonesia,135.94,False
505e8e,Slovakia,149.58,False
a38b61,United States,0.0,True
a39e7d,United States,207.15,False
440310,Austria,215.76,False
ad68f0,United States,114.65,False
46da6c,Greece,222.04,False
a858f3,United States,225.29,False
ab5e6c,United States,231.18,False
a9a397,United States,221.56,False
a858f6,United States,68.59,False
403325,United Kingdom,37.04,False
781a60,China,248.03,False
8015ad,India,167.86,False
ac7e60,United States,212.27,False
ad68fa,United States,34.48,False
a6e07d,United States,102.95,False
4b0eb9,Switzerland,107.52,False
a3ee2f,United States,206.27,False
885311,Thailand,150.94,False
c06a9b,Canada,246.96,False
8015fc,India,167.9,False
885303,Thailand,237.43,False
885304,Thailand,65.88,False
0d115a,Mexico,150.59,False
885301,Thailand,193.83,False
3b3dff,France,13.89,True
ad8b20,United States,220.4,False
a0f70c,United States,219.96,False
c06a8d,Canada,11.32,True
a5c09d,United States,225.24,False
a3a5d9,United States,170.14,False
40203a,United Kingdom,52.76,False
8015e4,India,224.86,False
3c4ad8,Germany,225.49,False
38019d,France,58.37,False
8015e8,India,58.77,False
34324f,Spain,184.2,False
34324e,Spain,216.13,False
402047,United Kingdom,45.86,False
3c4acd,Germany,275.13,False
8015db,India,177.9,False
39214f,France,37.13,False
3c4ad5,Germany,257.59,False
8015f3,India,214.14,False
8015f7,India,256.58,False
e49dbb,Brazil,0.0,True
88530b,Thailand,87.75,False
88530d,Thailand,237.05,False
8015ef,India,209.29,False
a605c1,United States,51.88,False
885315,Thailand,135.43,False
e48b64,Brazil,200.64,False
e48b66,Brazil,105.14,False
4bc859,Turkey,206.29,False
4bc854,Turkey,243.93,False
a1adab,United States,192.55,False
c06a75,Canada,233.94,False
c06a76,Canada,204.77,False
4bc84e,Turkey,228.94,False
4bc84f,Turkey,221.1,False
4401e8,Austria,214.04,False
4bc84c,Turkey,173.62,False
a39da1,United States,105.6,False
4bc84b,Turkey,228.56,False
4bc85a,Turkey,211.2,False
4401d1,Austria,199.09,False
4401d0,Austria,56.41,False
34454a,Spain,217.34,False
344557,Spain,237.04,False
a4c701,United States,0.0,True
4401d9,Austria,21.7,False
4401d8,Austria,34.48,False
a35725,United States,47.67,False
a88e8a,United States,203.51,False
ada64d,United States,224.87,False
ad3035,United States,43.84,False
70203e,Bangladesh,139.15,False
702066,Bangladesh,0.0,True
aa92fb,United States,261.43,False
c06a7b,Canada,103.95,False
702067,Bangladesh,128.61,False
3ae9ff,France,13.38,True
a52da3,United States,60.33,False
70204a,Bangladesh,101.56,False
4bc849,Turkey,3.09,True
ad4390,United States,0.0,True
4bc847,Turkey,222.93,False
4bc848,Turkey,219.83,False
4bc842,Turkey,211.03,False
4401dc,Austria,0.77,True
ac1076,United States,242.13,False
ab5e04,United States,46.21,False
4401ea,Austria,110.44,False
ada66e,United States,218.0,False
a4c720,United States,37.14,False
0d1158,Mexico,0.51,True
a35701,United States,228.85,False
a0f735,United States,228.63,False
ad4389,United States,134.81,False
4bc88c,Turkey,222.95,False
4bc88d,Turkey,111.39,False
4bc88a,Turkey,130.91,False
a1f116,United States,223.57,False
728639,Iraq,275.64,False
a21127,United States,224.95,False
4bb567,Turkey,213.32,False
4bc899,Turkey,238.44,False
4787b3,Norway,231.75,False
4bb565,Turkey,185.85,False
c06a39,Canada,239.26,False
a8de56,United States,236.29,False
4bc88e,Turkey,225.35,False
8518d0,Japan,155.77,False
80171a,India,233.71,False
3d117a,Germany,28.74,False
ac7e09,United States,233.8,False
801725,India,232.15,False
a39dca,United States,238.66,False
ab28bd,United States,57.97,False
801729,India,136.97,False
3ffad7,Germany,46.3,False
a6f2b7,United States,236.66,False
c021be,Canada,0.0,True
344502,Spain,232.6,False
702033,Bangladesh,271.57,False
ae638d,United States,222.63,False
ac48d3,United States,208.9,False
a3572c,United States,1.54,True
a23778,United States,78.35,False
aaf5a9,United States,1.8,True
4bc888,Turkey,255.94,False
702034,Bangladesh,18.01,True
4bc885,Turkey,233.71,False
4bc886,Turkey,227.19,False
4bb563,Turkey,227.27,False
4bc894,Turkey,229.87,False
ab15c1,United States,245.04,False
4bc892,Turkey,228.44,False
4bb562,Turkey,132.16,False
4bc893,Turkey,239.09,False
a845f4,United States,238.32,False
a99b0a,United States,71.02,False
73806e,Israel,11.66,False
44008f,Austria,224.6,False
73806c,Israel,7.2,True
73806b,Israel,0.0,False
a2efec,United States,219.88,False
801878,India,264.81,False
3d34db,Germany,56.83,False
801883,India,0.06,True
a35336,United States,192.51,False
a2467a,United States,224.33,False
4068f0,United Kingdom,0.0,True
3d47fd,Germany,57.62,False
440096,Austria,207.33,False
4068f5,United Kingdom,225.77,False
a1cffd,United States,225.51,False
c058cb,Canada,237.53,False
a3fcd6,United States,240.05,False
80184b,India,67.45,False
49f00e,Czech Republic,3.86,True
738061,Israel,0.0,True
c058d4,Canada,105.91,False
a3795a,United States,215.88,False
738065,Israel,238.59,False
738064,Israel,240.6,False
801862,India,210.94,False
a49951,United States,252.79,False
c07b05,Canada,0.0,True
801860,India,237.21,False
738069,Israel,245.03,False
738068,Israel,231.38,False
80184e,India,236.85,False
73805c,Israel,224.17,False
ac340a,United States,210.71,False
80052b,India,123.67,False
a3661f,United States,228.02,False
c058c3,Canada,259.51,False
c058d0,Canada,109.89,False
80185f,India,224.82,False
73806a,Israel,228.12,False
c058be,Canada,220.73,False
702087,Bangladesh,267.83,False
440058,Austria,221.54,False
440065,Austria,71.03,False
a1139f,United States,180.48,False
3c4a04,Germany,251.64,False
440062,Austria,9.26,True
00a120,South Africa,215.75,False
aa0701,United States,70.48,False
484fff,Kingdom of the Netherlands,240.65,False
44004f,Austria,226.39,False
452037,Bulgaria,105.56,False
abaaa8,United States,210.0,False
3c4a0d,Germany,143.95,False
3453cc,Spain,66.37,False
738050,Israel,234.2,False
440047,Austria,214.61,False
a47345,United States,135.49,False
4b0f0a,Switzerland,0.0,True
738054,Israel,0.0,False
440053,Austria,222.98,False
738052,Israel,236.48,False
440052,Austria,209.42,False
738051,Israel,219.65,False
440051,Austria,209.01,False
738055,Israel,231.74,False
738059,Israel,0.0,False
44003f,Austria,244.08,False
44006e,Austria,199.86,False
44006d,Austria,226.71,False
e48b00,Brazil,182.19,False
e48b01,Brazil,234.98,False
a47336,United States,76.61,False
3453c3,Spain,69.99,False
a3c94c,United States,225.51,False
440081,Austria,256.47,False
a74923,United States,193.65,False
a8ed63,United States,82.77,False
44005c,Austria,45.92,False
80189e,India,195.88,False
ab0144,United States,58.01,False
73934e,Israel,237.36,False
a3a302,United States,165.21,False
50028a,San Marino,128.56,False
e80045,Chile,261.54,False
70209f,Bangladesh,232.81,False
8a04ce,Indonesia,229.51,False
aae138,United States,124.41,False
8a04d7,Indonesia,153.21,False
c04687,Canada,226.64,False
440018,Austria,213.78,False
47861a,Norway,29.01,False
adc8ee,United States,7.2,True
440020,Austria,253.76,False
c02028,Canada,203.11,False
aa914f,United States,39.79,False
a005c1,United States,53.13,False
440002,Austria,217.74,False
45a96c,Denmark,41.16,False
a8431a,United States,235.94,False
a258b7,United States,224.53,False
a8697f,United States,232.71,False
8a063a,Indonesia,85.21,False
80059d,India,120.29,False
adfe5f,United States,55.54,False
a83033,United States,57.11,False
440039,Austria,128.21,False
a4b065,United States,228.46,False
abab67,United States,216.62,False
e0b085,Argentina,88.06,False
a5e391,United States,39.0,False
aa3ae2,United States,219.71,False
a5d04e,United States,65.12,False
a47364,United States,77.78,False
440031,Austria,184.14,False
440030,Austria,145.11,False
3d4945,Germany,110.55,False
44001f,Austria,219.5,False
3ffa55,Germany,35.82,False
a138b8,United States,227.22,False
accb50,United States,222.26,False
a34058,United States,25.85,False
